,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
16,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
17,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
20,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
21,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
22,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
23,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
24,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
25,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
26,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
27,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79
28,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
29,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
30,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
31,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
32,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66
33,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
34,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68
35,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15
36,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68
37,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31
38,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.14
39,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09,10.09
40,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04
41,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88
42,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56,12.56
43,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14,13.14
44,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76,13.76
45,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65,14.65
46,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96,15.96
47,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.91
48,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32
49,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9
50,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38
51,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58
52,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57,29.57
53,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68,31.68
54,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32,34.32
55,37.81,37.81,37.81,37.81,37.81,37.81,37.81,37.81,37.81,37.81
56,42.54,42.54,42.54,42.54,42.54,42.54,42.54,42.54,42.54,42.54
57,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15
58,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1
59,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83,59.83
60,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97,64.97
61,69.58,69.58,69.58,69.58,69.58,69.58,69.58,69.58,69.58,69.58
62,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14,74.14
63,79.34,79.34,79.34,79.34,79.34,79.34,79.34,79.34,79.34,79.34
64,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71
65,93.76,93.76,93.76,93.76,93.76,93.76,93.76,93.76,93.76,93.76
66,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0
67,112.62,112.62,112.62,112.62,112.62,112.62,112.62,112.62,112.62,112.62
68,121.73,121.73,121.73,121.73,121.73,121.73,121.73,121.73,121.73,121.73
69,129.77,129.77,129.77,129.77,129.77,129.77,129.77,129.77,129.77,129.77
70,136.75,136.75,136.75,136.75,136.75,136.75,136.75,136.75,136.75,136.75
71,143.3,143.3,143.3,143.3,143.3,143.3,143.3,143.3,143.3,143.3
72,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75,150.75
73,157.77,157.77,157.77,157.77,157.77,157.77,157.77,157.77,157.77,157.77
74,166.64,166.64,166.64,166.64,166.64,166.64,166.64,166.64,166.64,166.64
75,177.95,177.95,177.95,177.95,177.95,177.95,177.95,177.95,177.95,177.95
76,191.79,191.79,191.79,191.79,191.79,191.79,191.79,191.79,191.79,191.79
77,206.97,206.97,206.97,206.97,206.97,206.97,206.97,206.97,206.97,206.97
78,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57,220.57
79,228.25,228.25,228.25,228.25,228.25,228.25,228.25,228.25,228.25,228.25
80,225.36,225.36,225.36,225.36,225.36,225.36,225.36,225.36,225.36,225.36
81,208.53,208.53,208.53,208.53,208.53,208.53,208.53,208.53,208.53,208.53
82,176.87,176.87,176.87,176.87,176.87,176.87,176.87,176.87,176.87,176.87
83,132.76,132.76,132.76,132.76,132.76,132.76,132.76,132.76,132.76,132.76
84,80.05,80.05,80.05,80.05,80.05,80.05,80.05,80.05,80.05,80.05
85,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07,23.07
86,-34.94,-34.94,-34.94,-34.94,-34.94,-34.94,-34.94,-34.94,-34.94,-34.94
87,-92.44,-92.44,-92.44,-92.44,-92.44,-92.44,-92.44,-92.44,-92.44,-92.44
88,-149.16,-149.16,-149.16,-149.16,-149.16,-149.16,-149.16,-149.16,-149.16,-149.16
89,-205.23,-205.23,-205.23,-205.23,-205.23,-205.23,-205.23,-205.23,-205.23,-205.23
90,-260.37,-260.37,-260.37,-260.37,-260.37,-260.37,-260.37,-260.37,-260.37,-260.37
91,-313.74,-313.74,-313.74,-313.74,-313.74,-313.74,-313.74,-313.74,-313.74,-313.74
92,-363.87,-363.87,-363.87,-363.87,-363.87,-363.87,-363.87,-363.87,-363.87,-363.87
93,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83,-409.83
94,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91,-450.91
95,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5,-486.5
96,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74,-515.74
97,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23,-537.23
98,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22,-549.22
99,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96,-549.96
100,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37,-538.37
101,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21,-514.21
102,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67,-478.67
103,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88,-433.88
104,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45,-382.45
105,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02,-327.02
106,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84,-269.84
107,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63,-212.63
108,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66,-156.66
109,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95,-102.95
110,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37,-52.37
111,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9
112,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58,35.58
113,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43
114,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35,101.35
115,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5,125.5
