Accelerometer x,Accelerometer y,Accelerometer z
32.000000, 32.000000, 32.000000
-27,-47,46
-22,-45,47
-22,-45,46
-24,-41,47
-25,-41,50
-19,-39,46
-28,-36,52
-27,-35,54
-26,-32,50
-28,-32,51
-29,-33,51
-29,-31,50
-26,-31,51
-26,-28,50
-28,-27,51
-29,-26,53
-29,-25,52
-28,-23,52
-30,-23,51
-31,-24,53
-31,-24,52
-34,-23,51
-26,-23,53
-26,-24,53
-24,-24,54
-31,-22,51
-30,-21,52
-33,-19,50
-33,-19,51
-31,-19,52
-27,-19,46
-33,-21,53
-27,-21,57
-27,-20,54
-27,-22,55
-25,-25,56
-32,-24,58
-34,-20,57
-23,-21,55
-20,-24,46
-27,-23,51
-28,-23,57
-28,-20,56
-24,-20,47
-29,-21,51
-29,-22,54
-26,-22,58
-28,-20,56
-29,-20,53
-29,-22,54
-28,-23,53
-29,-23,52
-26,-24,53
-27,-24,52
-28,-23,53
-28,-23,54
-28,-22,54
-29,-21,52
-28,-21,54
-28,-21,53
-28,-22,53
-29,-22,53
-31,-23,55
-26,-23,55
-26,-22,52
-29,-21,51
-29,-21,51
-30,-20,51
-30,-20,52
-29,-20,54
-28,-21,55
-29,-21,54
-30,-21,55
-28,-19,55
-25,-17,52
-25,-17,53
-32,-18,54
-31,-18,53
-29,-19,53
-28,-22,53
-28,-22,52
-28,-23,53
-30,-22,54
-30,-22,52
-30,-21,51
-29,-19,52
-28,-19,54
-30,-19,52
-29,-19,53
-29,-19,54
-31,-19,53
-30,-20,54
-29,-19,54
-30,-20,54
-30,-20,54
-31,-20,51
-30,-20,53
-30,-21,54
-26,-20,53
-24,-21,52
-30,-20,52
-30,-20,54
-29,-21,52
-33,-19,53
-31,-20,53
-30,-19,52
-29,-19,52
-31,-20,54
-29,-21,54
-27,-20,53
-29,-20,53
-28,-21,55
-33,-19,58
-28,-18,56
-26,-22,49
-29,-16,53
-30,-13,54
-30,-13,52
-29,-12,49
-29,-16,50
-28,-18,54
-26,-21,52
-24,-22,51
-29,-26,56
-22,-27,53
-22,-27,51
-24,-28,57
-27,-26,56
-24,-22,54
-25,-21,49
-39,-25,56
-45,-29,74
-37,-27,64
-26,-28,36
-34,-28,32
-30,-26,43
-27,-26,49
-23,-24,52
-29,-22,50
-28,-21,49
-28,-19,50
-25,-17,53
-24,-17,55
-27,-17,55
-32,-18,61
-30,-16,59
-28,-16,59
-30,-15,55
-29,-16,51
-25,-17,54
-28,-17,55
-27,-18,50
-32,-20,52
-30,-22,53
-26,-22,49
-28,-22,48
-28,-26,53
-25,-36,60
-27,-35,68
-20,-27,61
-21,-24,56
-22,-23,56
-24,-24,59
-29,-24,62
-35,-28,48
-35,-26,45
-43,-18,49
-34,-19,54
-35,-16,52
-35,-15,52
-33,-14,51
-40,-13,49
-40,-13,53
-46,-14,54
-49,-16,53
-47,-17,54
-49,-16,53
-48,-16,51
-48,-13,51
-47,-11,50
-47,-9,48
-48,-9,47
-50,-8,44
-50,-6,41
-50,-5,38
-46,-3,39
-45,-2,35
-45,0,36
-42,1,38
-41,2,37
-41,3,38
-39,3,42
-35,4,41
-35,5,39
-33,5,41
-33,6,42
-36,6,41
-41,2,47
-42,1,48
-40,-3,47
-42,-3,47
-40,-4,48
-39,-4,46
-41,-6,45
-42,-5,47
-42,-5,47
-42,-5,46
-43,-5,46
-42,-6,49
-41,-7,50
-43,-8,50
-42,-10,50
-41,-10,49
-41,-10,47
-40,-9,46
-39,-7,44
-39,-6,44
-41,-5,48
-45,-3,51
-46,-1,52
-49,0,51
-49,1,52
-45,4,50
-43,7,50
-39,8,52
-36,7,52
-37,6,49
-39,2,53
-37,0,52
-36,-3,53
-32,-7,47
-41,-10,51
-38,-8,50
-34,-8,47
-42,-7,47
-42,-6,47
-34,-5,48
-41,-2,48
-40,-3,49
-36,-2,53
-37,-2,51
-39,-5,53
-33,-6,60
-38,-4,55
-33,-3,57
-34,-1,55
-34,-3,56
-37,-2,55
-39,-2,50
-40,-1,52
-37,0,51
-35,-1,49
-35,-2,48
-31,-1,52
-31,0,55
-35,0,51
-32,-2,52
-32,-3,54
-34,-4,54
-31,-3,55
-38,-2,55
-38,-1,54
-37,-1,51
-37,0,50
-36,1,53
-34,1,54
-33,0,54
-30,-2,54
-30,-2,55
-32,-3,56
-27,-4,57
-35,-2,55
-39,0,53
-40,1,52
-44,4,49
-38,4,52
-29,2,55
-22,-1,57
-31,-2,57
-23,-6,62
-23,-7,61
-30,-5,56
-30,-5,61
-26,-8,61
-27,-9,60
-29,-8,62
-26,-6,63
-28,-4,58
-28,0,56
-27,3,57
-30,7,52
-30,9,52
-27,10,52
-24,9,54
-24,8,56
-24,6,58
-22,5,59
-19,4,60
-21,2,61
-22,1,61
-23,1,62
-24,1,60
-22,2,61
-21,1,61
-21,2,60
-21,2,60
-20,2,61
-20,2,59
-21,2,60
-22,3,58
-22,3,59
-21,3,59
-23,3,58
-23,2,59
-22,3,60
-22,3,60
-23,3,58
-21,4,58
-24,3,57
-25,4,55
-28,4,55
-24,3,60
-25,3,60
-22,1,57
-16,-3,65
-20,-4,68
-20,-6,62
-12,-8,59
-19,-9,64
-20,-9,65
-12,-8,62
-17,-8,62
-23,-8,61
-19,-10,68
-15,-13,68
-18,-15,70
-16,-14,71
-15,-9,63
-21,-5,57
-22,-3,54
-23,0,53
-25,3,52
-26,5,48
-24,5,48
-28,3,55
-28,3,57
-26,2,57
-27,2,57
-27,1,59
-26,1,60
-30,-1,59
-31,-1,61
-30,-2,60
-28,-4,60
-26,-5,60
-29,-5,58
-22,-6,58
-31,-6,56
-29,-6,58
-25,-5,56
-26,-4,56
-28,-4,57
-32,-5,57
-30,-4,58
-33,-5,53
-31,-5,54
-32,-4,54
-33,-4,53
-32,-4,54
-26,-6,56
-30,-7,57
-32,-7,56
-31,-6,57
-33,-5,55
-35,-6,53
-38,-6,54
-35,-5,54
-39,-5,51
-38,-6,50
-38,-6,51
-36,-6,52
-38,-5,50
-35,-6,51
-36,-5,52
-38,-5,52
-36,-6,52
-37,-6,52
-37,-6,52
-37,-6,52
-36,-6,51
-35,-7,52
-36,-7,52
-37,-8,51
-35,-10,50
-35,-10,51
-36,-9,48
-35,-10,51
-36,-11,54
-39,-12,54
-37,-13,52
-37,-13,53
-36,-12,53
-36,-12,50
-36,-12,50
-37,-12,50
-37,-11,48
-36,-12,46
-38,-12,45
-38,-13,45
-35,-14,42
-30,-16,38
-29,-18,42
-31,-19,44
-26,-18,39
-26,-17,38
-33,-20,51
-31,-17,40
-34,-17,44
-42,-22,52
-37,-23,45
-44,-24,48
-44,-25,49
-39,-24,41
-40,-25,47
-41,-27,49
-37,-32,50
-34,-33,52
-36,-36,53
-34,-36,52
-29,-36,51
-33,-38,55
-29,-38,57
-34,-40,51
-37,-40,58
-29,-36,53
-25,-35,52
-23,-32,52
-15,-29,53
-18,-29,53
-19,-25,51
-19,-24,45
-22,-25,51
-23,-26,55
-30,-33,55
-47,-44,64
-34,-42,74
-26,-33,48
-33,-29,42
-27,-27,50
-23,-24,47
-25,-22,46
-23,-21,47
-22,-21,49
-26,-20,48
-29,-20,47
-25,-22,50
-27,-24,51
-29,-25,52
-27,-26,54
-27,-26,52
-29,-26,53
-26,-27,54
-30,-27,49
-28,-29,53
-25,-28,55
-24,-27,52
-27,-26,52
-24,-27,52
-20,-27,52
-26,-27,51
-28,-28,46
-27,-29,50
-28,-28,55
-31,-27,52
-24,-27,50
-27,-29,51
-30,-28,47
-29,-31,50
-28,-29,52
-25,-28,50
-26,-28,50
-25,-28,50
-25,-28,51
-27,-28,51
-29,-28,50
-28,-29,51
-27,-27,50
-26,-28,49
-26,-28,51
-27,-27,51
-28,-28,53
-30,-25,56
-28,-26,53
-31,-33,43
-31,-30,49
-27,-25,51
-26,-27,52
-26,-27,53
-25,-26,50
-28,-26,50
-29,-27,51
-29,-26,51
-28,-27,52
-28,-25,50
-28,-25,50
-29,-25,50
-27,-26,51
-28,-25,49
-29,-26,50
-29,-26,53
-32,-26,51
-32,-27,50
-25,-26,50
-26,-26,47
-30,-26,48
-29,-27,51
-29,-26,51
-29,-25,52
-28,-26,53
-28,-25,51
-29,-25,51
-29,-26,50
-28,-26,48
-30,-27,48
-31,-26,51
-29,-25,51
-28,-25,50
-30,-25,50
-31,-26,52
-29,-25,50
-30,-25,49
-29,-26,51
-29,-26,51
-30,-25,50
-30,-25,50
-30,-26,51
-30,-25,49
-30,-25,49
-29,-25,50
-30,-25,49
-33,-25,46
-32,-25,47
-29,-24,52
-30,-24,51
-32,-25,51
-29,-26,54
-29,-25,53
-31,-25,51
-33,-24,49
-32,-24,47
-35,-25,48
-35,-26,49
-32,-27,49
-33,-27,49
-32,-26,49
-30,-25,49
-31,-25,48
-33,-25,47
-32,-26,48
-31,-25,48
-31,-25,46
-37,-26,48
-34,-27,50
-34,-26,50
-35,-26,48
-34,-26,49
-33,-25,48
-33,-24,48
-31,-24,46
-35,-25,46
-36,-25,47
-34,-26,48
-33,-26,48
-34,-24,47
-33,-25,47
-30,-26,49
-31,-26,46
-35,-28,48
-31,-28,51
-31,-27,48
-33,-27,47
-31,-28,48
-31,-27,49
-32,-26,48
-33,-26,48
-33,-26,49
-33,-25,49
-32,-25,48
-32,-26,49
-33,-26,49
-33,-26,49
-32,-26,48
-32,-25,48
-32,-26,48
-32,-25,48
-32,-25,49
-32,-26,49
-34,-26,49
-33,-26,49
-33,-25,49
-32,-25,48
-32,-25,48
-32,-26,48
-32,-26,48
-32,-26,48
-32,-26,49
-32,-25,49
-32,-25,48
-33,-26,49
-32,-26,49
-32,-25,49
-32,-25,48
-32,-26,48
-33,-25,49
-33,-25,49
-33,-25,49
-32,-25,49
-33,-25,49
-32,-25,49
-32,-25,49
-32,-25,49
-32,-26,49
-32,-26,49
-32,-25,49
-32,-25,48
-32,-25,49
-32,-25,48
-32,-25,49
-33,-25,49
-32,-25,49
-32,-25,49
-32,-25,49
-32,-25,49
-32,-25,49
-32,-25,49
-32,-25,49
-32,-25,48
-32,-26,48
-32,-25,49
-33,-25,49
-32,-25,49
-33,-25,48
-32,-24,49
-32,-24,49
-34,-24,50
-35,-25,49
-31,-24,50
-30,-24,50
-33,-24,47
-31,-26,49
-30,-26,50
-31,-25,48
-33,-25,48
-32,-25,50
-32,-24,49
-32,-24,50
-31,-24,49
-32,-24,49
-31,-25,51
-28,-25,51
-31,-25,53
-25,-25,49
-26,-25,49
-32,-24,49
-32,-24,49
-28,-24,51
-27,-22,48
-35,-22,52
-31,-23,56
-35,-23,50
-28,-25,52
-29,-25,51
-29,-25,48
-28,-26,49
-29,-26,49
-29,-26,50
-29,-25,50
-32,-24,50
-31,-24,51
-30,-24,52
-29,-24,52
-30,-23,51
-32,-24,51
-30,-25,49
-32,-25,51
-33,-24,51
-26,-26,55
-20,-25,55
-26,-23,50
-31,-24,48
-35,-24,49
-34,-24,53
-34,-23,51
-32,-24,51
-27,-25,51
-28,-24,50
-29,-25,51
-29,-26,52
-31,-21,53
-31,-22,51
-32,-25,45
-33,-28,47
-28,-27,52
-29,-24,52
-30,-24,50
-30,-24,50
-31,-23,50
-34,-23,50
-32,-25,50
-33,-25,51
-30,-24,51
-29,-24,51
-31,-25,51
-30,-25,51
-30,-24,50
-30,-24,51
-31,-24,50
-31,-25,51
-30,-25,51
-31,-24,49
-32,-25,49
-31,-25,50
-32,-24,49
-32,-24,49
-31,-24,50
-30,-24,50
-31,-24,51
-30,-24,51
-30,-24,50
-31,-24,51
-30,-24,51
-31,-24,50
-31,-24,50
-31,-24,49
-32,-24,50
-32,-24,50
-31,-24,51
-31,-24,50
-30,-24,51
-31,-24,50
-31,-24,50
-31,-24,50
-31,-24,50
-31,-24,50
-31,-25,50
-32,-25,50
-32,-24,50
-31,-24,50
-31,-24,50
-32,-24,50
-31,-24,50
-32,-24,50
-31,-24,50
-31,-24,50
-33,-24,50
-31,-25,50
-29,-25,50
-30,-25,49
-30,-25,49
-31,-25,50
-30,-24,50
-30,-24,51
-29,-24,51
-30,-24,51
-29,-24,51
-30,-24,51
-29,-24,48
-32,-25,50
-28,-26,52
-33,-24,50
-32,-24,50
-28,-24,53
-30,-23,51
-32,-25,52
-28,-25,52
-29,-24,51
-31,-25,50
-30,-25,52
-31,-24,50
-31,-24,50
-31,-24,50
-30,-24,50
-31,-24,50
-32,-25,51
-32,-25,50
-30,-24,50
-30,-24,50
-31,-24,50
-29,-24,50
-30,-24,50
-30,-25,50
-32,-26,51
-30,-26,51
-27,-26,49
-26,-26,50
-29,-24,51
-29,-25,51
-30,-25,52
-30,-24,51
-29,-24,51
-31,-25,50
-29,-26,51
-32,-24,50
-29,-25,52
-27,-25,52
-28,-25,52
-29,-25,51
-29,-24,50
-29,-24,52
-32,-23,55
